,,,,,,,,,,,,,,,,,Dalam ribuan,,,,,,,,,,,,,,,,,,,,,,,,,,,
,BEBEK ,DP ,Bayar ,ANGSURAN ,,,,,,,MATIC ,DP ,Bayar ,ANGSURAN ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Matrix,Subs D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,BEAT,1000,100,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Genio,1000,200,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Scoopy,1000,200,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Vario 125,1000,0,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1500,Vario 160,1500,500,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1500,Stylo,1500,100,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1500,PCX,1500,500,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,PCX RS,500,500,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1500,ADV,1500,500,1300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Sport,1500,0,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,EV,1500,0,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Revo,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Supra,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
